위도,경도,cluster
5,37.56447601,126.98696899999999,C
9,37.56261826,126.99283600000001,C
14,37.55429459,127.0112,B
15,37.560474400000004,127.0140762,B
16,37.55599976,126.97335819999999,D
19,37.565849299999996,127.01640320000001,A
20,37.55978012,126.96850590000001,D
23,37.56138992,126.9953537,C
25,37.55410767,126.96540829999999,D
27,37.56217194,127.0062637,B
28,37.57089996,127.0195236,A
33,37.55641556,126.9691925,D
41,37.56035995,126.98265079999999,C
51,37.55677032,126.9731979,D
52,37.55536652,126.9686432,D
56,37.55664444,126.97364040000001,D
3,37.56622314,126.9835892,C
4,37.56546402,126.9841385,C
6,37.56134033,126.9804001,D
18,37.55519867,127.0100479,B
21,37.56699371,127.0034638,A
29,37.56634521,126.9822922,C
35,37.56015396,126.97410579999999,D
36,37.56584167,126.97981259999999,C
38,37.56415939,126.97948459999999,C
40,37.55974579,126.9800034,D
48,37.55432129,127.010704,B
60,37.5670166,126.97683719999999,C
61,37.56253433,126.97249599999999,D
62,37.56590271,126.98178100000001,C
63,37.56599045,126.98427579999999,C
64,37.56005478,126.98094180000001,D
70,37.56252670000001,126.9983139,A
71,37.56430817,127.0064774,A
72,37.5664711,126.9792557,C
