대여소번호,대여수,반납수,거치대수,(반납-대여)/거치대수,위도,경도,group
0,300,8,7,9,-0.1111111111111111,37.56805038,126.9692307,적정
1,310,8,7,8,-0.125,37.56887817,126.9774704,적정
2,318,3,2,12,-0.08333333333333333,37.56852722,126.9825516,적정
3,320,17,8,17,-0.5294117647058824,37.56622314,126.9835892,적음
4,321,23,10,17,-0.7647058823529411,37.56546402,126.9841385,적음
5,322,10,14,17,0.23529411764705882,37.56447601,126.986969,많음
6,324,12,5,12,-0.5833333333333334,37.56134033,126.9804001,적음
7,331,4,3,10,-0.1,37.56638336,126.9872055,적정
8,332,9,9,5,0.0,37.56599045,126.987793,적정
9,336,3,8,12,0.4166666666666667,37.56261826,126.992836,많음
10,346,11,11,12,0.0,37.56918335,127.0098801,적정
11,347,2,2,20,0.0,37.56533051,127.007843,적정
12,370,19,15,24,-0.16666666666666666,37.56322861,126.9748383,적정
13,371,4,2,12,-0.16666666666666666,37.55887222,127.0055389,적정
14,372,7,9,12,0.16666666666666666,37.55429459,127.0112,많음
15,374,7,9,12,0.16666666666666666,37.5604744,127.0140762,많음
16,379,14,21,9,0.7777777777777778,37.55599976,126.9733582,많음
17,380,10,9,10,-0.1,37.56386566,127.0027466,적정
18,382,10,8,9,-0.2222222222222222,37.55519867,127.0100479,적음
19,383,22,25,19,0.15789473684210525,37.5658493,127.0164032,많음
20,384,1,3,12,0.16666666666666666,37.55978012,126.9685059,많음
21,387,18,14,12,-0.3333333333333333,37.56699371,127.0034638,적음
22,389,16,14,12,-0.16666666666666666,37.5667305,126.9966049,적정
23,390,11,13,12,0.16666666666666666,37.56138992,126.9953537,많음
24,398,25,26,10,0.1,37.56655884,126.9924393,적정
25,399,1,7,17,0.35294117647058826,37.55410767,126.9654083,많음
26,428,10,8,12,-0.16666666666666666,37.56439972,126.9914322,적정
27,430,3,7,10,0.4,37.56217194,127.0062637,많음
28,431,37,41,15,0.26666666666666666,37.57089996,127.0195236,많음
29,433,19,12,12,-0.5833333333333334,37.56634521,126.9822922,적음
30,434,1,1,12,0.0,37.56148911,127.0239334,적정
31,435,3,3,12,0.0,37.55686188,126.9756165,적정
32,441,1,3,15,0.13333333333333333,37.55989075,126.9714966,적정
33,442,6,10,20,0.2,37.55641556,126.9691925,많음
34,443,1,1,9,0.0,37.5621109,126.9707184,적정
35,445,12,8,10,-0.4,37.56015396,126.9741058,적음
36,466,12,4,20,-0.4,37.56584167,126.9798126,적음
37,467,11,11,16,0.0,37.5622139,126.9808655,적정
38,468,10,4,10,-0.6,37.56415939,126.9794846,적음
39,469,6,7,16,0.0625,37.5592308,126.9801407,적정
40,470,7,1,20,-0.3,37.55974579,126.9800034,적음
41,471,5,8,10,0.3,37.56035995,126.9826508,많음
42,472,12,12,12,0.0,37.56787109,126.9889832,적정
43,473,9,8,20,-0.05,37.56605148,126.9979858,적정
44,474,15,10,30,-0.16666666666666666,37.56629944,127.0084915,적정
45,475,1,3,16,0.125,37.56764984,127.0118103,적정
46,476,10,10,10,0.0,37.56443024,127.0099564,적정
47,477,1,1,10,0.0,37.55928802,127.0026856,적정
48,480,13,8,8,-0.625,37.55432129,127.010704,적음
49,481,11,9,16,-0.125,37.56703186,127.0157929,적정
50,483,4,5,16,0.0625,37.54758453,127.0064392,적정
51,485,9,11,10,0.2,37.55677032,126.9731979,많음
52,826,24,29,22,0.22727272727272727,37.55536652,126.9686432,많음
53,3013,5,5,10,0.0,37.56761551,126.9872437,적정
54,4752,5,5,7,0.0,37.55891418,126.964859,적정
55,4753,1,1,10,0.0,37.56284332,126.9726181,적정
56,4760,1,7,10,0.6,37.55664444,126.9736404,많음
57,4761,4,3,10,-0.1,37.56467056,126.9908829,적정
58,4762,2,3,10,0.1,37.56693268,126.9825821,적정
59,4765,12,11,20,-0.05,37.5683136,127.0094605,적정
60,4768,19,12,12,-0.5833333333333334,37.5670166,126.9768372,적음
61,4772,3,1,10,-0.2,37.56253433,126.972496,적음
62,4774,12,10,9,-0.2222222222222222,37.56590271,126.981781,적음
63,4775,8,5,10,-0.3,37.56599045,126.9842758,적음
64,4776,10,5,10,-0.5,37.56005478,126.9809418,적음
65,4778,6,6,10,0.0,37.56520844,126.9874268,적정
66,4781,9,10,10,0.1,37.56147003,126.9680176,적정
67,4782,2,1,10,-0.1,37.56157303,126.9684906,적정
68,4785,2,2,8,0.0,37.56689835,126.9877396,적정
69,4791,14,14,10,0.0,37.56109619,126.9874649,적정
70,4792,17,12,10,-0.5,37.5625267,126.9983139,적음
71,4793,10,8,10,-0.2,37.56430817,127.0064774,적음
72,4796,11,3,10,-0.8,37.5664711,126.9792557,적음
